12:00:00 | PPM: 100 | Temp: 25 | Hum: 60
21:50:30 | PPM: 7465.06 | Temp: 28.50 | Hum: 79.00
21:50:35 | PPM: 7465.06 | Temp: 28.60 | Hum: 79.00
21:50:41 | PPM: 7465.06 | Temp: 28.60 | Hum: 79.00
21:50:46 | PPM: 7465.06 | Temp: 28.60 | Hum: 79.00
21:50:51 | PPM: 7819.39 | Temp: 28.60 | Hum: 78.00
21:50:56 | PPM: 6261.71 | Temp: 28.60 | Hum: 78.00
21:51:01 | PPM: 7378.78 | Temp: 28.60 | Hum: 78.00
21:51:06 | PPM: 7465.06 | Temp: 28.60 | Hum: 78.00
21:51:12 | PPM: 7378.78 | Temp: 28.60 | Hum: 78.00
21:51:17 | PPM: 7208.92 | Temp: 28.60 | Hum: 78.00
21:51:22 | PPM: 7208.92 | Temp: 28.70 | Hum: 78.00
21:51:59 | PPM: 5626.17 | Temp: 28.80 | Hum: 78.00
21:52:09 | PPM: 6641.85 | Temp: 28.80 | Hum: 78.00
21:52:19 | PPM: 6564.21 | Temp: 28.80 | Hum: 78.00
21:52:29 | PPM: 6564.21 | Temp: 28.80 | Hum: 78.00
21:52:40 | PPM: 6487.38 | Temp: 28.80 | Hum: 78.00
21:52:50 | PPM: 6564.21 | Temp: 28.80 | Hum: 78.00
21:53:00 | PPM: 5362.63 | Temp: 28.80 | Hum: 78.00
21:53:10 | PPM: 6411.36 | Temp: 28.90 | Hum: 77.00
21:53:20 | PPM: 6261.71 | Temp: 28.90 | Hum: 77.00
21:53:30 | PPM: 6336.14 | Temp: 28.90 | Hum: 77.00
21:53:41 | PPM: 6115.19 | Temp: 28.90 | Hum: 77.00
21:53:51 | PPM: 6115.19 | Temp: 28.90 | Hum: 77.00
21:54:01 | PPM: 6043.09 | Temp: 28.90 | Hum: 77.00
21:54:11 | PPM: 6043.09 | Temp: 29.00 | Hum: 77.00
21:54:21 | PPM: 6043.09 | Temp: 29.00 | Hum: 77.00
21:54:31 | PPM: 6043.09 | Temp: 29.00 | Hum: 77.00
21:54:41 | PPM: 6043.09 | Temp: 29.00 | Hum: 77.00
21:54:52 | PPM: 6043.09 | Temp: 29.00 | Hum: 77.00
21:55:02 | PPM: 5901.15 | Temp: 29.00 | Hum: 77.00
21:55:12 | PPM: 4809.22 | Temp: 29.00 | Hum: 76.00
21:55:22 | PPM: 5831.31 | Temp: 29.10 | Hum: 76.00
21:55:32 | PPM: 5831.31 | Temp: 29.10 | Hum: 76.00
21:55:42 | PPM: 5762.20 | Temp: 29.10 | Hum: 76.00
21:55:53 | PPM: 5762.20 | Temp: 29.10 | Hum: 76.00
21:56:03 | PPM: 4809.22 | Temp: 29.10 | Hum: 76.00
21:56:13 | PPM: 5693.82 | Temp: 29.10 | Hum: 76.00
21:56:23 | PPM: 5693.82 | Temp: 29.20 | Hum: 76.00
21:56:33 | PPM: 5693.82 | Temp: 29.20 | Hum: 76.00
21:56:43 | PPM: 5626.17 | Temp: 29.20 | Hum: 76.00
21:56:53 | PPM: 5693.82 | Temp: 29.20 | Hum: 76.00
21:57:04 | PPM: 5626.17 | Temp: 29.20 | Hum: 76.00
21:57:14 | PPM: 5626.17 | Temp: 29.20 | Hum: 76.00
21:57:24 | PPM: 5427.47 | Temp: 29.20 | Hum: 75.00
22:09:57 | PPM: 6487.38 | Temp: 29.70 | Hum: 73.00
22:10:02 | PPM: 6564.21 | Temp: 29.70 | Hum: 73.00
22:10:08 | PPM: 6641.85 | Temp: 29.70 | Hum: 73.00
22:10:14 | PPM: 5762.20 | Temp: 29.70 | Hum: 73.00
22:10:19 | PPM: 6720.32 | Temp: 29.80 | Hum: 73.00
22:10:25 | PPM: 7042.61 | Temp: 29.80 | Hum: 73.00
22:10:31 | PPM: 7465.06 | Temp: 29.80 | Hum: 73.00
22:10:36 | PPM: 7819.39 | Temp: 29.80 | Hum: 73.00
22:10:42 | PPM: 7552.25 | Temp: 29.80 | Hum: 73.00
22:10:47 | PPM: 7729.41 | Temp: 29.80 | Hum: 73.00
22:10:53 | PPM: 7378.78 | Temp: 29.90 | Hum: 74.00
22:10:59 | PPM: 7208.92 | Temp: 29.90 | Hum: 74.00
22:11:04 | PPM: 7042.61 | Temp: 29.90 | Hum: 74.00
22:11:10 | PPM: 6799.62 | Temp: 29.90 | Hum: 74.00
22:11:15 | PPM: 6720.32 | Temp: 29.90 | Hum: 74.00
22:11:21 | PPM: 7208.92 | Temp: 29.90 | Hum: 74.00
22:11:27 | PPM: 7208.92 | Temp: 29.90 | Hum: 73.00
22:13:03 | PPM: 6720.32 | Temp: 30.00 | Hum: 73.00
22:13:09 | PPM: 6720.32 | Temp: 30.00 | Hum: 73.00
22:13:14 | PPM: 6641.85 | Temp: 30.00 | Hum: 73.00
22:13:20 | PPM: 6564.21 | Temp: 30.00 | Hum: 73.00
22:13:26 | PPM: 6564.21 | Temp: 30.00 | Hum: 73.00
23:38:39 | PPM: 15374.60 | Temp: 28.80 | Hum: 79.00
23:38:52 | PPM: 14873.74 | Temp: 28.80 | Hum: 79.00
23:39:05 | PPM: 13020.58 | Temp: 28.80 | Hum: 79.00
