Waktu,PPM,Temp,Humidity,TempOut,HumidityOut,TempAC,ModeAC
01,7378.78,30.9,74.0,29.0,51.0,27.0,0.0
01,9502.95,30.9,74.0,27.0,65.0,18.0,2.0
01,9288.96,30.9,74.0,29.0,49.0,18.0,1.0
01,8976.27,31.0,74.0,33.0,59.0,25.0,1.0
01,8874.2,31.0,74.0,22.0,61.0,16.0,0.0
04,17932.31,30.3,78.0,28.0,72.0,19.0,2.0
12,300993.13,28.6,87.0,22.0,56.0,20.0,2.0
12,282611.22,28.6,87.0,32.0,79.0,18.0,0.0
12,240481.52,28.6,87.0,20.0,72.0,17.0,1.0
12,223460.06,28.6,87.0,29.0,43.0,28.0,0.0
13,113087.96,28.9,86.0,31.0,68.0,21.0,0.0
13,106847.73,28.9,86.0,26.0,40.0,17.0,1.0
13,104456.33,28.9,86.0,20.0,63.0,29.0,2.0
13,100976.41,29.0,86.0,32.0,55.0,24.0,1.0
13,95449.7,29.0,86.0,21.0,42.0,17.0,2.0
13,93330.41,29.0,85.0,25.0,51.0,27.0,0.0
13,94383.71,29.0,85.0,27.0,67.0,17.0,1.0
13,92289.67,29.1,85.0,28.0,50.0,23.0,1.0
13,88248.72,29.1,85.0,26.0,79.0,27.0,0.0
13,87268.18,29.1,85.0,26.0,78.0,18.0,0.0
13,77214.05,29.3,84.0,27.0,75.0,18.0,1.0
13,75521.58,29.3,84.0,21.0,75.0,17.0,0.0
13,80720.28,29.3,84.0,26.0,55.0,26.0,2.0
13,77214.05,29.3,84.0,30.0,42.0,29.0,2.0
13,77214.05,29.3,84.0,28.0,48.0,24.0,0.0
13,68374.63,29.3,84.0,23.0,56.0,17.0,0.0
